ID,prefix,MSE,PSNR_dB,SSIM,p,sigma,frames_used
00000,chromosphere_200p,0.0006676219299819327,31.75469406094473,0.9228272486664986,11,9.0,100
00001,chromosphere_200p,0.0006293824104226544,32.01085398637805,0.874506653849336,11,9.0,100
00002,chromosphere_200p,0.3162978706580783,4.999037317787427,0.39100330083142465,11,9.0,100
00003,chromosphere_200p,0.0032336837717245144,24.903024528619106,0.9094470013069971,11,9.0,100
00004,chromosphere_200p,0.001095457280325251,29.604045540053868,0.8786909286406578,11,9.0,100
00005,chromosphere_200p,0.0006231731670982899,32.053912550017806,0.9074758621627217,11,9.0,100
00006,chromosphere_200p,0.0015277134188270247,28.159581066863687,0.9191627623379253,11,9.0,100
00007,chromosphere_200p,0.0018291431389990214,27.377523076208895,0.8949528390399686,11,9.0,100
00008,chromosphere_200p,0.0006938735123052001,31.587196908052242,0.9232613237268364,11,9.0,100
00009,chromosphere_200p,0.0011833281796442055,29.268947931211517,0.9209243701700514,11,9.0,100
00010,chromosphere_200p,0.0009192030312118347,30.36588552165286,0.912846042415128,11,9.0,100
00011,chromosphere_200p,0.0008436232143522819,30.738514780952087,0.9212510024656133,11,9.0,100
00012,chromosphere_200p,0.0022561436189528364,26.466332579983405,0.800187247397778,11,9.0,100
00013,chromosphere_200p,0.0017868242269071719,27.47918167717566,0.9071655850282287,11,9.0,100
00014,chromosphere_200p,0.0007513431598237585,31.241616630237793,0.9243074752560335,11,9.0,100
00015,chromosphere_200p,0.0009916177580122267,30.03655704435818,0.9383733928486919,11,9.0,100
00016,chromosphere_200p,0.0004607469144210388,33.36537564528646,0.9274314269293538,11,9.0,100
00017,chromosphere_200p,0.0005846027802572454,32.33139123553491,0.9096270697533744,11,9.0,100
00018,chromosphere_200p,0.00026142211795632226,35.82657671154791,0.9320370505289146,11,9.0,100
00019,chromosphere_200p,0.0008942666114730034,30.485329838554737,0.866648476744745,11,9.0,100
00020,chromosphere_200p,0.0006833829681359494,31.653358492667678,0.909122874242598,11,9.0,100
00021,chromosphere_200p,0.0006365625166031263,31.961589379922664,0.9255500077968917,11,9.0,100
00022,chromosphere_200p,0.0017865462329644066,27.479857404682477,0.8448313729872126,11,9.0,100
00023,chromosphere_200p,0.00028124947868254945,35.50908273877921,0.942794298608735,11,9.0,100
00024,chromosphere_200p,0.0009053395570119955,30.431885035809962,0.9001225827840263,11,9.0,100
00025,chromosphere_200p,0.0021109993061793255,26.75511909431586,0.9242946282199868,11,9.0,100
00026,chromosphere_200p,0.0005639820977045008,32.48734681462659,0.9190978988760992,11,9.0,100
00027,chromosphere_200p,0.0014805612384858292,28.29573624757998,0.9015092464138865,11,9.0,100
00028,chromosphere_200p,0.0007947369783081126,30.997765792298132,0.929229801719767,11,9.0,100
00029,chromosphere_200p,0.00040036896260597595,33.975395972552,0.9544635844281204,11,9.0,100
00030,chromosphere_200p,0.0009194415555432812,30.36475871550148,0.9610338684598609,11,9.0,100
00031,chromosphere_200p,0.0013795973539929333,28.602476472615695,0.8865453409009567,11,9.0,100
00032,chromosphere_200p,0.0014331202016447581,28.43717382022937,0.935514502050221,11,9.0,100
00033,chromosphere_200p,0.00035432901760200244,34.50593279875717,0.942725082699192,11,9.0,100
00034,chromosphere_200p,0.0007542670025382823,31.22474891261919,0.8874920062790336,11,9.0,100
00035,chromosphere_200p,0.0015103819560425779,28.209132113656228,0.9407102854779154,11,9.0,100
00036,chromosphere_200p,0.0024542445774146976,26.100821598939273,0.8739958401672704,11,9.0,100
00037,chromosphere_200p,0.0012532098504660415,29.0197620014029,0.9247405915073436,11,9.0,100
00038,chromosphere_200p,0.0011308635008362058,29.465898127678937,0.9303134544913858,11,9.0,100
00039,chromosphere_200p,0.0012645856187292407,28.980517614300023,0.9257258948488155,11,9.0,100
00040,chromosphere_200p,0.0035453636323775953,24.503392145187167,0.9114458369558901,11,9.0,100
00041,chromosphere_200p,0.0006634097013655163,31.78218181868836,0.9247897201868436,11,9.0,100
00042,chromosphere_200p,0.0005951989549147472,32.253378400212455,0.9153433817424672,11,9.0,100
00043,chromosphere_200p,0.0013589335343665839,28.668017841532517,0.8772114842405463,11,9.0,100
00044,chromosphere_200p,0.0010468845897515756,29.801011930076058,0.9199395902613593,11,9.0,100
00045,chromosphere_200p,0.0010263787643854355,29.886923420244283,0.9113624424138762,11,9.0,100
00046,chromosphere_200p,0.040696171183891475,13.904464485617051,0.054365447260427385,11,9.0,100
00047,chromosphere_200p,0.0015228874905778634,28.17332180725742,0.8960666375216314,11,9.0,100
00048,chromosphere_200p,0.0015800149902354353,28.01338792700229,0.9098144277702469,11,9.0,100
00049,chromosphere_200p,0.00048995884525277,33.098403975842416,0.9278470385087253,11,9.0,100
00050,chromosphere_200p,0.0004730756902103592,33.25069368330113,0.9345054848853501,11,9.0,100
00051,chromosphere_200p,0.0004824353911515937,33.16560840133953,0.9436321938450851,11,9.0,100
00052,chromosphere_200p,0.0004002246971496607,33.97696115337804,0.9469711643343874,11,9.0,100
00053,chromosphere_200p,0.0005883510342577425,32.30363478766664,0.9396590056418068,11,9.0,100
00054,chromosphere_200p,0.0008243797203899986,30.83872700336599,0.9259481237262517,11,9.0,100
00055,chromosphere_200p,0.0011471509502136731,29.403794308071586,0.9480622600161309,11,9.0,100
00056,chromosphere_200p,0.0009374369968014848,30.280579106518772,0.931424818840518,11,9.0,100
00057,chromosphere_200p,0.0008886539397643067,30.512673293676798,0.9365060139112518,11,9.0,100
00058,chromosphere_200p,0.0005114071481586092,32.91233205945695,0.9171621069744744,11,9.0,100
00059,chromosphere_200p,0.001512109355507551,28.20416799591341,0.8212702775012941,11,9.0,100
00060,chromosphere_200p,0.0009271380399947451,30.328555996798272,0.9393653639372052,11,9.0,100
00061,chromosphere_200p,0.0009689435709920531,30.1370151450792,0.9325075169227007,11,9.0,100
00062,chromosphere_200p,0.0012074034033318114,29.1814760432639,0.9463621540099096,11,9.0,100
00063,chromosphere_200p,0.001010123747439469,29.956254187539567,0.9345576829482379,11,9.0,100
00064,chromosphere_200p,0.00255305749096832,25.929394054350063,0.934198713792642,11,9.0,100
00065,chromosphere_200p,0.0030228124110431792,25.195888033271938,0.9448535367257903,11,9.0,100
