ID,prefix,MSE,PSNR_dB,SSIM,p,sigma,frames_used
00100,continuum_200p,0.0009454322172561567,30.243696024369857,0.9068239123492425,11,9.0,100
00101,continuum_200p,0.00027731659894816873,35.57024134692436,0.9265629184225271,11,9.0,100
00102,continuum_200p,0.0018775189352153528,27.26415674340799,0.8472367939883073,11,9.0,100
00103,continuum_200p,0.00047943551854097373,33.19269794801856,0.8956589113405851,11,9.0,100
00104,continuum_200p,0.0007952278033522386,30.99508444215159,0.887148571482827,11,9.0,100
00105,continuum_200p,0.00041090339747729376,33.862602678412166,0.925106668618239,11,9.0,100
00106,continuum_200p,0.0008703593465119528,30.603014025699057,0.868405511425228,11,9.0,100
00107,continuum_200p,0.0016943810060562393,27.70988925633191,0.8807806944432091,11,9.0,100
00108,continuum_200p,0.0006638647615495987,31.77920383425264,0.9065318213152961,11,9.0,100
00109,continuum_200p,0.0009789424195861954,30.09242852212598,0.7325257960849509,11,9.0,100
00110,continuum_200p,0.0021965830303550763,26.582523758525607,0.7476353564298592,11,9.0,100
00111,continuum_200p,0.0006071943977364871,32.16672244100972,0.8814435540796088,11,9.0,100
00112,continuum_200p,0.000986450586778388,30.059246645191937,0.8247048968223674,11,9.0,100
00113,continuum_200p,0.0006184536345791939,32.08692853837924,0.8594440340645185,11,9.0,100
00114,continuum_200p,0.0005825802280583278,32.346442587932735,0.8524610963611668,11,9.0,100
00115,continuum_200p,0.00040042718180944203,33.97476449401587,0.8937021193717631,11,9.0,100
00116,continuum_200p,0.0014179646303473484,28.48334602041917,0.8993569261338927,11,9.0,100
00117,continuum_200p,0.0012995852903810443,28.86195212949167,0.6976253294728133,11,9.0,100
00118,continuum_200p,0.0013706981797489432,28.630581639558752,0.8735229533185696,11,9.0,100
00119,continuum_200p,0.00267379697217106,25.728715728456585,0.8967183078245704,11,9.0,100
00120,continuum_200p,0.0020293905744046244,26.926343610569475,0.8976056947831882,11,9.0,100
00121,continuum_200p,0.000456568018659515,33.40494512920553,0.8684531339342269,11,9.0,100
00122,continuum_200p,0.0005029050030957351,32.98514043826155,0.8859798512958696,11,9.0,100
00123,continuum_200p,0.0003561169031355666,34.484074119919036,0.9196992997394892,11,9.0,100
00124,continuum_200p,0.0004973997306094121,33.03294454278945,0.8895338904276285,11,9.0,100
00125,continuum_200p,0.0008452351639687536,30.730224434702688,0.8561054910363848,11,9.0,100
00126,continuum_200p,0.0018246227794370986,27.38826907504627,0.9052037388725355,11,9.0,100
00127,continuum_200p,0.0028387096122702016,25.4687903165128,0.8482074867924434,11,9.0,100
00128,continuum_200p,0.0004662966227535191,33.31337729998697,0.8580681751723133,11,9.0,100
00129,continuum_200p,0.0010043250420355063,29.981257083895755,0.8633379368463433,11,9.0,100
00130,continuum_200p,0.000694786544120078,31.58148601092796,0.8476711647185445,11,9.0,100
00131,continuum_200p,0.0015804648283285888,28.0121516450822,0.8248485238331295,11,9.0,100
00132,continuum_200p,0.0010311488984988864,29.866786178131704,0.863886975576734,11,9.0,100
00133,continuum_200p,0.0011576312640994096,29.364297527576216,0.8699616838922694,11,9.0,100
00134,continuum_200p,0.0008087224752732962,30.922004872077494,0.8711820315358283,11,9.0,100
00135,continuum_200p,0.0008503541024289933,30.704001887478725,0.9180416595303512,11,9.0,100
00136,continuum_200p,0.0005553710757117238,32.55416742493391,0.833151724411832,11,9.0,100
00137,continuum_200p,0.0010889226390820871,29.630029729652314,0.9160045200009658,11,9.0,100
00138,continuum_200p,0.0008665029361499668,30.62229961338329,0.8939118142481204,11,9.0,100
00139,continuum_200p,0.00046860808355726275,33.29190224031771,0.8910676754810045,11,9.0,100
00140,continuum_200p,0.0005032367578689611,32.982276442785604,0.8851945950787556,11,9.0,100
00141,continuum_200p,0.0007256385045667103,31.392796803619987,0.9010682344754635,11,9.0,100
00142,continuum_200p,0.0006597822107665872,31.805993982027086,0.8761923519701407,11,9.0,100
00143,continuum_200p,0.0008822927156008,30.54387306387499,0.8454361003334205,11,9.0,100
00144,continuum_200p,0.0005691375137485568,32.44782787652874,0.8251969660850325,11,9.0,100
