ID,prefix,MSE,PSNR_dB,SSIM,p,sigma,frames_used
00000,continuum_200p,0.0012902899118098167,28.893126982640712,0.8634718303347592,11,9.0,100
00001,continuum_200p,0.0011037680443507464,29.57122183529526,0.7781104076712195,11,9.0,100
00002,continuum_200p,0.0008256159722476493,30.832219138371165,0.8524170350977075,11,9.0,100
00003,continuum_200p,0.0016682697518842432,27.77733724511927,0.8587467024076499,11,9.0,100
00004,continuum_200p,0.0006400109125523327,31.938126209835225,0.8579178245696808,11,9.0,100
00005,continuum_200p,0.0010528405320655624,29.77637404017379,0.7806411861934078,11,9.0,100
00006,continuum_200p,0.001067103918946124,29.717932851423022,0.8561246642653509,11,9.0,100
00007,continuum_200p,0.0008450304812931555,30.731276252294045,0.8489041876105562,11,9.0,100
00008,continuum_200p,0.0017923228278754007,27.46583763793472,0.7220327665625541,11,9.0,100
00009,continuum_200p,0.0008810862993321608,30.54981551873758,0.8826894140368687,11,9.0,100
00010,continuum_200p,0.008020107479674934,20.95819811576564,0.5811364338559066,11,9.0,100
00011,continuum_200p,0.0021002610330887596,26.777267251780362,0.8051104243365853,11,9.0,100
00012,continuum_200p,0.0018469332627084427,27.335487971212654,0.7821712815870824,11,9.0,100
00013,continuum_200p,0.0008013326738373619,30.96187148812728,0.9016459875043459,11,9.0,100
00014,continuum_200p,0.0022610627832815727,26.45687378364864,0.7887077196530019,11,9.0,100
00015,continuum_200p,0.000695400292076539,31.577651312437833,0.893224413474996,11,9.0,100
00016,continuum_200p,0.0020753422103374076,26.829102807315145,0.8453518119734765,11,9.0,100
00017,continuum_200p,0.0017546649053068511,27.558058100650737,0.710943921665196,11,9.0,100
00018,continuum_200p,0.0007225074120642821,31.411576932051783,0.8476175972388922,11,9.0,100
00019,continuum_200p,0.0015335851571043522,28.142921034547655,0.8522345164955031,11,9.0,100
00020,continuum_200p,0.0007184834797057147,31.435832132710658,0.8537388930429671,11,9.0,100
00021,continuum_200p,0.0005312273089708797,32.747196071518886,0.8950026099151301,11,9.0,100
00022,continuum_200p,0.0010459395496200878,29.80493414919096,0.8457046575839956,11,9.0,100
00023,continuum_200p,0.0015551317940476854,28.082327995617643,0.8914696545969188,11,9.0,100
00024,continuum_200p,0.00184212390785126,27.34681160954471,0.8947657398694289,11,9.0,100
00025,continuum_200p,0.0009232995725164345,30.346573655157307,0.8679343921607172,11,9.0,100
00026,continuum_200p,0.0005876994663109547,32.308447036676206,0.8748461875611888,11,9.0,100
00027,continuum_200p,0.0010730473983632078,29.693810940704406,0.8922801668090079,11,9.0,100
00028,continuum_200p,0.0007242383594299951,31.40118476415463,0.8959089939989147,11,9.0,100
00029,continuum_200p,0.0006067325567398373,32.17002700567565,0.8606440880897412,11,9.0,100
00030,continuum_200p,0.001215733778865791,29.151615163689357,0.8293545823611148,11,9.0,100
00031,continuum_200p,0.0019175618050283883,27.172506293866935,0.7500677815689474,11,9.0,100
00032,continuum_200p,0.0007616843196344433,31.182249848901794,0.8456151583479619,11,9.0,100
00033,continuum_200p,0.0007778234873808415,31.091189469099728,0.8694122420412861,11,9.0,100
00034,continuum_200p,0.002381543905254754,26.23141407587578,0.8127546021477525,11,9.0,100
00035,continuum_200p,0.0010076172808653205,29.96704392861008,0.8738730891976938,11,9.0,100
00036,continuum_200p,0.0014991274026591643,28.241614572646764,0.8649966715237563,11,9.0,100
00037,continuum_200p,0.0010329690277083026,29.859127000651142,0.7412369081498962,11,9.0,100
00038,continuum_200p,0.0010708397792012255,29.702755041579636,0.8488831904511263,11,9.0,100
00039,continuum_200p,0.0007376653787620217,31.321405990351096,0.8802020683186981,11,9.0,100
00040,continuum_200p,0.0003193234145177859,34.957692354754435,0.8860986629836491,11,9.0,100
00041,continuum_200p,0.0004199289095018527,33.768242258504046,0.9028621903726689,11,9.0,100
00042,continuum_200p,0.0007722822435584514,31.122239504176616,0.8806707729764434,11,9.0,100
00043,continuum_200p,0.0009061210142216855,30.42813797578056,0.8869971029409726,11,9.0,100
00044,continuum_200p,0.0011867210970676614,29.256513368473378,0.8894791552108174,11,9.0,100
00045,continuum_200p,0.00026147500238952206,35.825698243616,0.9200749296010476,11,9.0,100
00046,continuum_200p,0.0008268933614587818,30.825504946991813,0.7565405755615451,11,9.0,100
00047,continuum_200p,0.002287665821647855,26.40607416248811,0.8146614142485631,11,9.0,100
00048,continuum_200p,0.0003971248008853884,34.01072989915879,0.9175361275208159,11,9.0,100
00049,continuum_200p,0.0006082110503622709,32.15945693583928,0.8559330581603594,11,9.0,100
00050,continuum_200p,0.0003201768773334345,34.94610035343321,0.9147340111748627,11,9.0,100
00051,continuum_200p,0.0014525574819768228,28.378666722860757,0.8525326435275926,11,9.0,100
00052,continuum_200p,0.00043607771151566035,33.60436110100541,0.9150141595893159,11,9.0,100
00053,continuum_200p,0.0006870924269017215,31.62984838204716,0.9184472563185953,11,9.0,100
00054,continuum_200p,0.0027350465766423394,25.63035273423232,0.6546755463123036,11,9.0,100
00055,continuum_200p,0.000548881314275539,32.60521553778696,0.8649121702547002,11,9.0,100
00056,continuum_200p,0.0009189516570546786,30.367073347799632,0.8353264241323177,11,9.0,100
00057,continuum_200p,0.0017426150068890938,27.587985502691993,0.8867913970597558,11,9.0,100
00058,continuum_200p,0.002981290447496822,25.255957114546316,0.8399240482518409,11,9.0,100
00059,continuum_200p,0.0011396801343216037,29.432170218139735,0.7614215870900094,11,9.0,100
00060,continuum_200p,0.0006218317043996166,32.06327139007544,0.8811967850775102,11,9.0,100
00061,continuum_200p,0.001141059873687894,29.42691566686043,0.7988771787726403,11,9.0,100
00062,continuum_200p,0.0018191506485696978,27.40131334398083,0.7853327400309456,11,9.0,100
00063,continuum_200p,0.0018863920529276455,27.243680418593236,0.7921498119071784,11,9.0,100
00064,continuum_200p,0.0006641197552240159,31.777536008375428,0.8719874475161365,11,9.0,100
00065,continuum_200p,0.0020923137523899847,26.793731904000516,0.847897566735453,11,9.0,100
00066,continuum_200p,0.0008138838957206215,30.894375447966176,0.7971453056188359,11,9.0,100
00067,continuum_200p,0.0011164105433518667,29.52176070698352,0.8743341215771994,11,9.0,100
00068,continuum_200p,0.0022032111528168534,26.56943878650987,0.8514733212105304,11,9.0,100
00069,continuum_200p,0.0017834831673654834,27.48730985206919,0.7730346707112037,11,9.0,100
00070,continuum_200p,0.0007745774141888346,31.109351707067205,0.900253292351634,11,9.0,100
00071,continuum_200p,0.0006783075835756154,31.685733274335306,0.8797779060095811,11,9.0,100
00072,continuum_200p,0.0011914899817882462,29.2390960490995,0.905435793821595,11,9.0,100
00073,continuum_200p,0.0008115955314573375,30.906603528027663,0.8618093553860069,11,9.0,100
00074,continuum_200p,0.0012053002294061823,29.189047607788822,0.78661651564812,11,9.0,100
00075,continuum_200p,0.000531739107254579,32.74301397913589,0.8614921536496496,11,9.0,100
00076,continuum_200p,0.00027631705849201363,35.585923029942144,0.916672208410604,11,9.0,100
00077,continuum_200p,0.002253693825080887,26.4710508523302,0.8952449352208569,11,9.0,100
00078,continuum_200p,0.0012892790415971055,28.896530771302334,0.8794368193053436,11,9.0,100
00079,continuum_200p,0.0012612170325948617,28.992101727861595,0.8878212608670916,11,9.0,100
00080,continuum_200p,0.0005506362097980053,32.591352328293716,0.9283949022971305,11,9.0,100
00081,continuum_200p,0.001778898958026956,27.498487192671508,0.7732030652854043,11,9.0,100
00082,continuum_200p,0.001377618673827356,28.60870978923804,0.8552261755578247,11,9.0,100
00083,continuum_200p,0.0011392338680911158,29.433871124480497,0.9126752383719309,11,9.0,100
00084,continuum_200p,0.0010051709730374578,29.977600612968075,0.7694698083621294,11,9.0,100
00085,continuum_200p,0.0018157360780556796,27.409472770560207,0.8762946558120553,11,9.0,100
00086,continuum_200p,0.001374739618337286,28.61779551308461,0.8502542467247114,11,9.0,100
00087,continuum_200p,0.0003399074865628827,34.68639269847238,0.914045846099212,11,9.0,100
